[20260731.013315.894-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=55,n=1,mode=s,dt=14325,acq=13926,wak=25,mrq=8,drq=26,upd=469,enu=14,rem=12,dmg=20,snd=44,tot=595,dr=1,mr=0,mrmax=0,area=546376,win=1,iwn=1,wev=1,sends=2,skip=0,log=73
[20260731.013315.912-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=56,n=1,mode=s,dt=18758,acq=17230,wak=27,mrq=19,drq=26,upd=554,enu=13,rem=15,dmg=19,snd=40,tot=676,dr=1,mr=0,mrmax=0,area=547214,win=1,iwn=1,wev=1,sends=2,skip=0,log=1228
[20260731.013315.926-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=57,n=1,mode=s,dt=12951,acq=12585,wak=23,mrq=7,drq=22,upd=581,enu=11,rem=11,dmg=18,snd=33,tot=685,dr=1,mr=0,mrmax=0,area=547214,win=1,iwn=1,wev=1,sends=2,skip=0,log=61
[20260731.013315.943-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=58,n=1,mode=s,dt=18146,acq=16823,wak=30,mrq=85,drq=57,upd=699,enu=12,rem=8,dmg=18,snd=49,tot=825,dr=1,mr=0,mrmax=0,area=547398,win=1,iwn=1,wev=1,sends=2,skip=0,log=923
[20260731.013315.959-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=59,n=1,mode=s,dt=15815,acq=14737,wak=100,mrq=24,drq=44,upd=409,enu=11,rem=12,dmg=18,snd=46,tot=528,dr=1,mr=0,mrmax=0,area=547398,win=1,iwn=1,wev=1,sends=2,skip=0,log=68
[20260731.013315.976-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=60,n=1,mode=s,dt=16582,acq=15852,wak=21,mrq=9,drq=25,upd=269,enu=12,rem=11,dmg=20,snd=38,tot=386,dr=1,mr=0,mrmax=0,area=546744,win=1,iwn=1,wev=1,sends=2,skip=0,log=80
[20260731.013315.991-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=61,n=1,mode=s,dt=14732,acq=14395,wak=56,mrq=9,drq=26,upd=266,enu=13,rem=16,dmg=37,snd=59,tot=449,dr=1,mr=0,mrmax=0,area=547580,win=1,iwn=1,wev=1,sends=2,skip=0,log=59
[20260731.013316.007-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=62,n=1,mode=s,dt=15851,acq=15400,wak=22,mrq=9,drq=18,upd=358,enu=10,rem=10,dmg=17,snd=33,tot=460,dr=1,mr=0,mrmax=0,area=547580,win=1,iwn=1,wev=1,sends=2,skip=0,log=87
[20260731.013316.022-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=63,n=1,mode=s,dt=15121,acq=13485,wak=27,mrq=9,drq=25,upd=1674,enu=10,rem=11,dmg=102,snd=43,tot=1872,dr=1,mr=0,mrmax=0,area=546925,win=1,iwn=1,wev=1,sends=2,skip=0,log=1175
[20260731.013316.040-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=64,n=1,mode=s,dt=18205,acq=16591,wak=50,mrq=11,drq=22,upd=303,enu=14,rem=13,dmg=24,snd=46,tot=445,dr=1,mr=0,mrmax=0,area=546270,win=1,iwn=1,wev=1,sends=2,skip=0,log=1233
[20260731.013316.055-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=65,n=1,mode=s,dt=15258,acq=14828,wak=34,mrq=25,drq=29,upd=407,enu=13,rem=13,dmg=21,snd=60,tot=553,dr=1,mr=0,mrmax=0,area=547104,win=1,iwn=1,wev=1,sends=2,skip=0,log=83
[20260731.013316.075-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=66,n=1,mode=s,dt=20066,acq=19639,wak=29,mrq=29,drq=24,upd=333,enu=11,rem=16,dmg=24,snd=50,tot=477,dr=1,mr=0,mrmax=0,area=547104,win=1,iwn=1,wev=1,sends=2,skip=0,log=62
[20260731.013316.089-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=67,n=1,mode=s,dt=13906,acq=13499,wak=19,mrq=9,drq=28,upd=219,enu=7,rem=6,dmg=9,snd=24,tot=285,dr=1,mr=0,mrmax=0,area=546448,win=1,iwn=1,wev=1,sends=2,skip=0,log=73
[20260731.013316.125-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=68,n=1,mode=s,dt=34965,acq=34740,wak=27,mrq=6,drq=16,upd=555,enu=17,rem=16,dmg=60,snd=1000,tot=1694,dr=3,mr=0,mrmax=0,area=555404,win=1,iwn=2,wev=2,sends=4,skip=0,log=47
[20260731.013316.158-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=69,n=1,mode=s,dt=33530,acq=32160,wak=19,mrq=6,drq=20,upd=1647,enu=13,rem=15,dmg=18,snd=43,tot=1762,dr=3,mr=0,mrmax=0,area=554923,win=1,iwn=2,wev=2,sends=4,skip=0,log=88
