Microsoft Windows [Version 10.0.19044.1288]
(c) Microsoft Corporation. All rights reserved.

C:\Windows\system32>powershell -NoProfile -Command "$l=(Get-ChildItem 'C:\Program Files\Qubes Tools\log' -Filter 'gui-agent-*.log' | Sort LastWriteTime -Desc | Select -First 1).FullName; Get-Content $l | Select-String -Pattern 'QGAPERF|PHASE' | ForEach-Object { $_.Line }"
[20260731.000447.081-4000-I] PerfInit: QGAPERF on: freq=62500000 everyN=1 qpc_cost_ns=5284 default=1 (sink 89709485777039)
[20260731.000447.081-4000-I] PerfInit: QGAPERF-HEADER v=1 fields: seq,n,mode,dt,acq,wak,mrq,drq,upd,enu,rem,dmg,snd,tot,dr,mr,mrmax,area,win,sends,skip,log (times in microseconds)
[20260731.000524.840-4000-I] PerfEmitFrame: QGAPERF,v=1,seq=42,n=1,mode=s,dt=80194,acq=11706,wak=35,mrq=14,drq=30,upd=307,enu=37933,rem=6,dmg=23,snd=89,tot=38394,dr=7,mr=0,mrmax=0,area=589214,win=1,sends=4,skip=0,log=78
[20260731.000524.886-4000-I] PerfEmitFrame: QGAPERF,v=1,seq=43,n=1,mode=s,dt=45123,acq=6405,wak=44,mrq=11,drq=29,upd=1384,enu=37354,rem=6,dmg=23,snd=185,tot=38988,dr=3,mr=0,mrmax=0,area=558432,win=1,sends=4,skip=0,log=82
[20260731.000524.925-4000-I] PerfEmitFrame: QGAPERF,v=1,seq=44,n=1,mode=s,dt=47128,acq=7724,wak=51,mrq=17,drq=49,upd=2183,enu=28576,rem=5,dmg=20,snd=149,tot=30968,dr=3,mr=0,mrmax=0,area=569466,win=1,sends=4,skip=0,log=100
[20260731.000524.973-4000-I] PerfEmitFrame: QGAPERF,v=1,seq=45,n=1,mode=s,dt=49325,acq=18086,wak=33,mrq=16,drq=30,upd=1547,enu=29848,rem=3,dmg=17,snd=86,tot=31536,dr=5,mr=0,mrmax=0,area=568414,win=1,sends=4,skip=0,log=73
[20260731.000525.028-4000-I] PerfEmitFrame: QGAPERF,v=1,seq=46,n=1,mode=s,dt=38794,acq=2487,wak=44,mrq=16,drq=35,upd=1322,enu=44328,rem=7,dmg=25,snd=96,tot=45816,dr=3,mr=0,mrmax=0,area=558028,win=1,sends=4,skip=0,log=64
[20260731.000525.079-4000-I] PerfEmitFrame: QGAPERF,v=1,seq=47,n=1,mode=s,dt=57061,acq=10889,wak=42,mrq=16,drq=35,upd=338,enu=39148,rem=7,dmg=27,snd=107,tot=39671,dr=7,mr=0,mrmax=0,area=575459,win=1,sends=4,skip=0,log=101
[20260731.000525.122-4000-I] PerfEmitFrame: QGAPERF,v=1,seq=48,n=1,mode=s,dt=46651,acq=6656,wak=59,mrq=14,drq=35,upd=785,enu=35936,rem=4,dmg=17,snd=92,tot=36868,dr=3,mr=0,mrmax=0,area=561736,win=1,sends=4,skip=0,log=72
[20260731.000525.197-4000-I] PerfEmitFrame: QGAPERF,v=1,seq=49,n=1,mode=s,dt=48774,acq=11474,wak=35,mrq=10,drq=29,upd=1632,enu=64257,rem=9,dmg=37,snd=121,tot=66098,dr=3,mr=0,mrmax=0,area=564567,win=1,sends=4,skip=0,log=93
[20260731.000525.280-4000-I] PerfEmitFrame: QGAPERF,v=1,seq=50,n=1,mode=s,dt=81820,acq=15269,wak=22,mrq=18,drq=37,upd=461,enu=63240,rem=11,dmg=18,snd=113,tot=63906,dr=7,mr=0,mrmax=0,area=588074,win=1,sends=4,skip=0,log=103
[20260731.000525.327-4000-I] PerfEmitFrame: QGAPERF,v=1,seq=51,n=1,mode=s,dt=74397,acq=10179,wak=23,mrq=13,drq=49,upd=280,enu=36197,rem=7,dmg=27,snd=92,tot=36643,dr=5,mr=0,mrmax=0,area=580388,win=1,sends=4,skip=0,log=75
